STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL PERCENT,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
539,CT,Connecticut,4,H8CT04172,,Stephen A.,Miller,"Miller, Stephen A.",,W,,,,,3,"0,00%",,,,,W,
540,CT,Connecticut,4,H8CT04172,,Sophie E.,Pastore,,,W,,,,,2,"0,00%",,,,,W,
541,CT,Connecticut,4,n/a,,,,,District Votes:,,,,,,"198,8",,,,,,,
542,CT,Connecticut,5,H2CT05131,(I),Elizabeth,Esty,"Esty, Elizabeth",,D,*,,,,"106,256","49,82%",,,"113,564","53,24%",W,"* A candidate is endorsed by the party at the party convention.  A primary election is only held if a qualified challenger to the party endorsed candidate receives 15% of the delegate votes on roll call at the convention and files for a primary, or, if after the convention, a challenger files a requisite number of petitions to qualify for primary ballot access.  Otherwise, the party endorsed candidate is the nominee.  The Democratic conventions for candidates for the U.S. House of Representatives were held on May 14, 2014, and the Republican conventions were held on May 16, 2014.  The convention results listed on the next tab were obtained from the state parties.  An asterisk denotes the party's endorsed candidate."
543,CT,Connecticut,5,H2CT05131,,Elizabeth,Esty,"Esty, Elizabeth",,WF,,,,,"7,308","3,43%",,,"113,564","53,24%",W,
544,CT,Connecticut,5,H0CT05127,,John J.,Pistone,,,PC,,,,,"1,97","0,92%",,,,,,
545,CT,Connecticut,5,H0CT05150,,Mark,Greenberg,"Greenberg, Mark",,R,*,,,,"92,404","43,32%",,,"97,767","45,84%",,"* A candidate is endorsed by the party at the party convention.  A primary election is only held if a qualified challenger to the party endorsed candidate receives 15% of the delegate votes on roll call at the convention and files for a primary, or, if after the convention, a challenger files a requisite number of petitions to qualify for primary ballot access.  Otherwise, the party endorsed candidate is the nominee.  The Democratic conventions for candidates for the U.S. House of Representatives were held on May 14, 2014, and the Republican conventions were held on May 16, 2014.  The convention results listed on the next tab were obtained from the state parties.  An asterisk denotes the party's endorsed candidate."
546,CT,Connecticut,5,H0CT05150,,Mark,Greenberg,"Greenberg, Mark",,IP,,,,,"5,363","2,51%",,,"97,767","45,84%",,
547,CT,Connecticut,5,n/a,,,,,District Votes:,,,,,,"213,301",,,,,,,
548,CT,Connecticut,H,n/a,,,,,Total State Votes:,,,,,,1.067.857,,,,,,,
549,,,,n/a,,,,,,,,,,,,,,,,,,
550,DE,Delaware,0,H0DE01017,(I),"John C., Jr.",Carney,,,D,Unopposed,,,,"137,251","59,26%",,,,,W,
551,DE,Delaware,0,H0DE01025,,Rose,Izzo,"Izzo, Rose",,R,Unopposed,,,,"85,146","36,76%",,,,,,
552,DE,Delaware,0,H2DE00155,,Bernard,August,"August, Bernard",,GRE,,,,,"4,801","2,07%",,,,,,
553,DE,Delaware,0,H2DE00148,,Scott,Gesty,"Gesty, Scott",,LIB,*,,,,"4,419","1,91%",,,,,,"*  The Libertarian Party nominated by convention on March 8, 2014.  Convention nominee is noted with an asterisk."
554,DE,Delaware,0,n/a,,,,,District Votes:,,,,,,"231,617",,,,,,,
555,DE,Delaware,H,n/a,,,,,Total State Votes:,,,,,,"231,617",,,,,,,
556,DE,Delaware,,n/a,,,,,,,,,,,,,,,,,,
557,,,,n/a,,,,,,,,,,,,,,,,,,
558,DC,District of Columbia,0,H0DC00058 ,(I),Eleanor H.,Norton,"Norton, Eleanor H.",,D,"87,247","97,05%",,,"143,923","83,73%",,,,,W,
559,DC,District of Columbia,0,n/a,,,Scattered,Scattered,,W(D),"2,652","2,95%",,,,,,,,,,
560,DC,District of Columbia,0,n/a,,,,,Party Votes:,D,"89,899",,,,,,,,,,,
561,DC,District of Columbia,0,H4DC00092,,Nelson F.,Rimensnyder,"Rimensnyder, Nelson F.",,R,"1,131","89,83%",,,"11,673","6,79%",,,,,,
562,DC,District of Columbia,0,n/a,,,Scattered,Scattered,,W(R),128,"10,17%",,,,,,,,,,
563,DC,District of Columbia,0,n/a,,,,,Party Votes:,R,"1,259",,,,,,,,,,,
564,DC,District of Columbia,0,H4DC00076,,Timothy J.,Krepp,,,IND,,,,,"9,101","5,29%",,,,,,
565,DC,District of Columbia,0,n/a,,,,,,,,,,,,,,,,,,
566,DC,District of Columbia,0,H8DC00143,,Natale Lino,Stracuzzi,"Stracuzzi, Natale Lino",,DCG,323,"79,56%",,,"6,073","3,53%",,,,,,
567,DC,District of Columbia,0,n/a,,,Scattered,Scattered,,W(DCG),83,"20,44%",,,,,,,,,,
568,DC,District of Columbia,0,n/a,,,,,Party Votes:,DCG,406,,,,,,,,,,,
569,DC,District of Columbia,0,n/a,,,Scattered,Scattered,,W,,,,,"1,123","0,65%",,,,,,
570,DC,District of Columbia,0,H4DC00068 ,,Sara Jane ,Panfil,"Panfil, Sara Jane #",,LIB,30,"96,77%",,,#,,,,,,,# Sara Jane Panfil withdrew after the primary election.
571,DC,District of Columbia,0,n/a,,,Scattered,Scattered,,W(LIB),1,"3,23%",,,,,,,,,,
572,DC,District of Columbia,0,n/a,,,,,Party Votes:,LIB,31,,,,,,,,,,,
573,DC,District of Columbia,0,n/a,,,,,District Votes:,,"91,595",,,,"171,893",,,,,,,
574,DC,District of Columbia,H,n/a,,,,,Total State Votes:,,"91,595",,,,"171,893",,,,,,,
575,,,,n/a,,,,,,,,,,,,,,,,,,
576,FL,Florida,1,H2FL01100 ,(I),Jeff,Miller,"Miller, Jeff",,R,"44,784","75,34%",,,"165,086","70,15%",,,,,W,
577,FL,Florida,1,H0FL00023 ,,John E.,Krause,"Krause, John E.",,R,"14,66","24,66%",,,,,,,,,,
578,FL,Florida,1,n/a,,,,,Party Votes:,R,"59,444",,,,,,,,,,,
579,FL,Florida,1,H8FL01099 ,,Jim,Bryan,"Bryan, Jim",,D,Unopposed,,,,"54,976","23,36%",,,,,,
580,FL,Florida,1,H4FL01155 ,,Mark,Wichern,"Wichern, Mark",,NPA,,,,,"15,281","6,49%",,,,,,
581,FL,Florida,1,n/a,,,,,District Votes:,,"59,444",,,,"235,343",,,,,,,
582,FL,Florida,2,H4FL02062,,Gwen,Graham,"Graham, Gwen",,D,Unopposed,,,,"126,096","50,48%",,,,,W,
583,FL,Florida,2,H0FL02110 ,(I),Steve,Southerland,,,R,Unopposed,,,,"123,262","49,35%",,,,,,
584,FL,Florida,2,H4FL02070 ,,Luther ,Lee,"Lee, Luther ",,W,,,,,422,"0,17%",,,,,,
585,FL,Florida,2,n/a,,,,,District Votes:,,,,,,"249,78",,,,,,,
586,FL,Florida,3,H2FL06109 ,(I),Ted,Yoho,"Yoho, Ted",,R,"37,486","79,38%",,,"148,691","64,98%",,,,,W,
587,FL,Florida,3,H4FL03094,,Jake ,Rush,"Rush, Jake ",,R,"9,739","20,62%",,,,,,,,,,
588,FL,Florida,3,n/a,,,,,Party Votes:,R,"47,225",,,,,,,,,,,
589,FL,Florida,3,H4FL03110 ,,Marihelen,Wheeler,"Wheeler, Marihelen",,D,Unopposed,,,,"73,91","32,30%",,,,,,
590,FL,Florida,3,H4FL03102 ,,Howard Term Limits,Lawson,"Lawson, Howard Term Limits",,NPA,,,,,"6,208","2,71%",,,,,,
591,FL,Florida,3,n/a,,,,,District Votes:,,"47,225",,,,"228,809",,,,,,,
592,FL,Florida,,n/a,,,,,,,,,,,,,,,,,,
593,FL,Florida,4,H0FL04066 ,(I),Ander,Crenshaw,"Crenshaw, Ander",,R,"38,613","70,94%",,,"177,887","78,28%",,,,,W,
594,FL,Florida,4,H4FL04035 ,,Ryman,Shoaf,"Shoaf, Ryman",,R,"15,817","29,06%",,,,,,,,,,
595,FL,Florida,4,n/a,,,,,Party Votes:,R,"54,43",,,,,,,,,,,
596,FL,Florida,4,H4FL04043 ,,Paula ,Moser-Bartlett,"Moser-Bartlett, Paula ",,NPA,,,,,"35,663","15,69%",,,,,,
597,FL,Florida,4,H0FL04116 ,,Gary L.,Koniz,,,NPA,,,,,"13,69","6,02%",,,,,,
598,FL,Florida,4,H0FL04033,,Deborah Katz,Pueschel,"Pueschel, Deborah Katz",,W,,,,,13,"0,01%",,,,,,
599,FL,Florida,4,n/a,,,,,District Votes:,,"54,43",,,,"227,253",,,,,,,
600,FL,Florida,,n/a,,,,,,,,,,,,,,,,,,
601,FL,Florida,5,H2FL03056,(I),Corrine ,Brown,"Brown, Corrine ",,D,Unopposed,,,,"112,34","65,47%",,,,,W,
602,FL,Florida,5,H4FL05065,,Glo,Smith,"Smith, Glo",,R,"10,968","62,97%",,,"59,237","34,53%",,,,,,
603,FL,Florida,5,H4FL05073 ,,Thuy (Twee),Lowe,"Lowe, Thuy (Twee)",,R,"6,451","37,03%",,,,,,,,,,
604,FL,Florida,5,n/a,,,,,Party Votes:,R,"17,419",,,,,,,,,,,
605,FL,Florida,5,n/a,,,,,District Votes:,,"17,419",,,,"171,577",,,,,,,
606,FL,Florida,,n/a,,,,,,,,,,,,,,,,,,
607,FL,Florida,6,H2FL00292 ,(I),Ron,DeSantis,"DeSantis, Ron",,R,Unopposed,,,,"166,254","62,54%",,,,,W,
608,FL,Florida,6,H4FL06022,,David,Cox,"Cox, David",,D,Unopposed,,,,"99,563","37,46%",,,,,,
609,FL,Florida,6,n/a,,,,,District Votes:,,,,,,"265,817",,,,,,,
610,FL,Florida,7,H2FL08055 ,(I),John  ,Mica,,,R,"32,084","72,15%",,,"144,474","63,60%",,,,,W,
611,FL,Florida,7,H4FL07061,,David ,Smith,"Smith, David ",,R,"8,316","18,70%",,,,,,,,,,
612,FL,Florida,7,H4FL07103 ,,Don,Oehlrich,"Oehlrich, Don",,R,"2,285","5,14%",,,,,,,,,,
613,FL,Florida,7,H4FL07111 ,,Kelly ,Shirley,"Shirley, Kelly ",,R,"1,786","4,02%",,,,,,,,,,
614,FL,Florida,7,n/a,,,,,Party Votes:,R,"44,471",,,,,,,,,,,
615,FL,Florida,7,H4FL07087 ,,Wes,Neuman,"Neuman, Wes",,D,Unopposed,,,,"73,011","32,14%",,,,,,
616,FL,Florida,7,H6FL08130,,Al,Krulick,"Krulick, Al",,NPA,,,,,"9,679","4,26%",,,,,,
617,FL,Florida,7,n/a,,,,,District Votes:,,"44,471",,,,"227,164",,,,,,,
618,FL,Florida,8,H8FL15107 ,(I),Bill,Posey,"Posey, Bill",,R,Unopposed,,,,"180,728","65,84%",,,,,W,
619,FL,Florida,8,H4FL08085 ,,Gabriel,Rothblatt,"Rothblatt, Gabriel",,D,Unopposed,,,,"93,724","34,14%",,,,,,
620,FL,Florida,8,H4FL08093,,"Christopher L., Jr",Duncan,"Duncan, Christopher L., Jr",,W,,,,,61,"0,02%",,,,,,
621,FL,Florida,8,n/a,,,,,District Votes:,,,,,,"274,513",,,,,,,
622,FL,Florida,9,H6FL08213,(I),Alan,Grayson,"Grayson, Alan",,D,"18,641","74,32%",,,"93,85","53,97%",,,,,W,
623,FL,Florida,9,H0FL24171,,Nick,Ruiz,"Ruiz, Nick",,D,"6,441","25,68%",,,,,,,,,,
624,FL,Florida,9,n/a,,,,,Party Votes:,D,"25,082",,,,,,,,,,,
625,FL,Florida,9,H4FL09083 ,,Carol ,Platt,"Platt, Carol ",,R,"11,542","54,61%",,,"74,963","43,11%",,,,,,
626,FL,Florida,9,H4FL09109 ,,Jorge ,Bonilla,,,R,"6,293","29,77%",,,,,,,,,,
627,FL,Florida,9,H4FL09117 ,,Peter,Vivaldi,"Vivaldi, Peter",,R,"3,301","15,62%",,,,,,,,,,
628,FL,Florida,9,n/a,,,,,Party Votes:,R,"21,136",,,,,,,,,,,
629,FL,Florida,9,H4FL09133,,Marko,Milakovich,"Milakovich, Marko",,NPA,,,,,"5,06","2,91%",,,,,,
630,FL,Florida,9,H4FL09141 ,,Leon Leo,Ray,"Ray, Leon Leo",,W,,,,,5,"0,00%",,,,,,
631,FL,Florida,9,n/a,,,,,District Votes:,,"46,218",,,,"173,878",,,,,,,
632,FL,Florida,10,H0FL08208 ,(I),Daniel ,Webster,"Webster, Daniel ",,R,Unopposed,,,,"143,128","61,54%",,,,,W,
633,FL,Florida,10,H4FL09091,,Michael,McKenna,"McKenna, Michael",,D,"11,912","49,73%",,,"89,426","38,45%",,,,,,
634,FL,Florida,10,H4FL10099 ,,Shayan,Modarres,"Modarres, Shayan",,D,"7,324","30,58%",,,,,,,,,,
635,FL,Florida,10,H4FL10107,,William,Ferree,"Ferree, William",,D,"4,718","19,70%",,,,,,,,,,
636,FL,Florida,10,n/a,,,,,Party Votes:,D,"23,954",,,,,,,,,,,
637,FL,Florida,10,H4FL10115,,David B.,Falstad,"Falstad, David B.",,W,,,,,20,"0,01%",,,,,,
638,FL,Florida,10,n/a,,,,,District Votes:,,"23,954",,,,"232,574",,,,,,,
639,FL,Florida,11,H0FL05139 ,(I),"Richard B. ""Rich""",Nugent,"Nugent, Richard B. ""Rich""",,R,Unopposed,,,,"181,508","66,66%",,,,,W,
640,FL,Florida,11,H4FL11071,,Dave ,Koller,"Koller, Dave ",,D,Unopposed,,,,"90,786","33,34%",,,,,,
641,FL,Florida,11,n/a,,,,,District Votes:,,,,,,"272,294",,,,,,,
642,FL,Florida,12,H6FL09070 ,(I),Gus Michael,Bilirakis,,,R,Unopposed,,,,Unopposed,,,,,,W,
643,FL,Florida,12,n/a,,,,,District Votes:,,,,,,,,,,,,,
644,FL,Florida,13,H4FL13101,(I),David W.,Jolly,,,R,Unopposed,,,,"168,172","75,22%",,,,,W,
645,FL,Florida,13,H4FL13077,,Lucas,Overby,"Overby, Lucas",,LBF,Unopposed,,,,"55,318","24,74%",,,,,,
646,FL,Florida,13,H4FL13150 ,,Michael Stephen,Levinson,"Levinson, Michael Stephen",,W,,,,,86,"0,04%",,,,,,
647,FL,Florida,13,n/a,,,,,District Votes:,,,,,,"223,576",,,,,,,
648,FL,Florida,14,H6FL11126 ,(I),Kathy ,Castor,"Castor, Kathy ",,D,Unopposed,,,,Unopposed,,,,,,W,
649,FL,Florida,14,n/a,,,,,District Votes:,,,,,,,,,,,,,
650,FL,Florida,15,H0FL12101,(I),Dennis A.,Ross,"Ross, Dennis A.",,R,Unopposed,,,,"128,75","60,28%",,,,,W,
651,FL,Florida,15,H4FL15155 ,,Alan M.,Cohn,"Cohn, Alan M.",,D,Unopposed,,,,"84,832","39,72%",,,,,,
652,FL,Florida,15,n/a,,,,,District Votes:,,,,,,"213,582",,,,,,,
653,FL,Florida,16,H6FL13148 ,(I),Vern,Buchanan,"Buchanan, Vern",,R,Unopposed,,,,"169,126","61,54%",,,,,W,
654,FL,Florida,16,H4FL16146 ,,Henry ,Lawrence,,,D,Unopposed,,,,"105,483","38,38%",,,,,,
655,FL,Florida,16,H4FL16153,,Joe,Newman,,,W,,,,,220,"0,08%",,,,,,
656,FL,Florida,16,n/a,,,,,District Votes:,,,,,,"274,829",,,,,,,
657,FL,Florida,17,H8FL16022,(I),Tom,Rooney,,,R,Unopposed,,,,"141,493","63,24%",,,,,W,
658,FL,Florida,17,H2FL00300 ,,Will,Bronson,"Bronson, Will",,D,Unopposed,,,,"82,263","36,76%",,,,,,
659,FL,Florida,17,n/a,,,,,District Votes:,,,,,,"223,756",,,,,,,
660,FL,Florida,18,H2FL22072,(I),Patrick ,Murphy,"Murphy, Patrick ",,D,Unopposed,,,,"151,478","59,78%",,,,,W,
661,FL,Florida,18,H4FL18068 ,,Carl J.,Domino,"Domino, Carl J.",,R,"15,805","38,36%",,,"101,896","40,22%",,,,,,
662,FL,Florida,18,H4FL18043 ,,Alan ,Schlesinger,"Schlesinger, Alan ",,R,"9,92","24,08%",,,,,,,,,,
663,FL,Florida,18,H4FL18084 ,,Beverly ,Hires,"Hires, Beverly ",,R,"5,76","13,98%",,,,,,,,,,
664,FL,Florida,18,H4FL18100,,Brian ,Lara,"Lara, Brian ",,R,"5,361","13,01%",,,,,,,,,,
665,FL,Florida,18,H4FL18076 ,,Calvin D.,Turnquest,"Turnquest, Calvin D.",,R,"2,757","6,69%",,,,,,,,,,
666,FL,Florida,18,H4FL18092 ,,Nick,Wukoson,"Wukoson, Nick",,R,"1,594","3,87%",,,,,,,,,,
667,FL,Florida,18,n/a,,,,,Party Votes:,R,"41,197",,,,,,,,,,,
668,FL,Florida,18,n/a,,,,,District Votes:,,"41,197",,,,"253,374",,,,,,,
669,FL,Florida,19,H4FL19074 ,(I),Curt ,Clawson,,,R,Unopposed,,,,"159,354","64,55%",,,,,W,
670,FL,Florida,19,H4FL19058,,April,Freeman,"Freeman, April",,D,Unopposed,,,,"80,824","32,74%",,,,,,
671,FL,Florida,19,H0FL02136,,Ray ,Netherwood,,,LBF,Unopposed,,,,"6,671","2,70%",,,,,,
672,FL,Florida,19,H4FL19082,,Timothy J.,Rossano,"Rossano, Timothy J.",,W,,,,,12,"0,00%",,,,,,
673,FL,Florida,19,n/a,,,,,District Votes:,,,,,,"246,861",,,,,,,
674,FL,Florida,20,H2FL23021,(I),Alcee L.,Hasting,"Hastings, Alcee L.",,D,"29,236","79,20%",,,"128,498","81,60%",,,,,W,
675,FL,Florida,20,H4FL20056,,Jean L.,Enright,"Enright, Jean L.",,D,"5,256","14,24%",,,,,,,,,,
676,FL,Florida,20,H4FL20072,,Jameel,McCline,"McCline, Jameel",,D,"2,424","6,57%",,,,,,,,,,
677,FL,Florida,20,n/a,,,,,Party Votes:,D,"36,916",,,,,,,,,,,
678,FL,Florida,20,H4FL20064,,Jay,Bonner,"Bonner, Jay",,R,Unopposed,,,,"28,968","18,40%",,,,,,
679,FL,Florida,20,n/a,,,,,District Votes:,,"36,916",,,,"157,466",,,,,,,
680,FL,Florida,,n/a,,,,,,,,,,,,,,,,,,
681,FL,Florida,21,H0FL19080,(I),Ted,Deutch,"Deutch, Ted",,D,"31,08","91,61%",,,"153,395","99,63%",,,,,W,
682,FL,Florida,21,H4FL21054  ,,Emmanuel G.,Morel,"Morel, Emmanuel G.",,D,"2,845","8,39%",,,,,,,,,,
683,FL,Florida,21,n/a,,,,,Party Votes:,D,"33,925",,,,,,,,,,,
684,FL,Florida,21,H2FL21066,,W. Michael,Trout,,,W,,,,,575,"0,37%",,,,,,
685,FL,Florida,21,n/a,,,,,District Votes:,,"33,925",,,,"153,97",,,,,,,
686,FL,Florida,,n/a,,,,,,,,,,,,,,,,,,
687,FL,Florida,22,H2FL14053,(I),Lois,Frankel,"Frankel, Lois",,D,Unopposed,,,,"125,404","58,03%",,,,,W,
688,FL,Florida,22,H4FL22110 ,,Paul,Spain,"Spain, Paul",,R,"7,492","42,61%",,,"90,685","41,97%",,,,,,
689,FL,Florida,22,H4FL22086,,Andrea Leigh,McGee,"McGee, Andrea Leigh",,R,"6,073","34,54%",,,,,,,,,,
690,FL,Florida,22,H2FL22114 ,,David,Wagie,"Wagie, David",,R,"4,017","22,85%",,,,,,,,,,
691,FL,Florida,22,n/a,,,,,Party Votes:,R,"17,582",,,,,,,,,,,
692,FL,Florida,22,H4FL22102 ,,Raymond,Schamis,,,W,,,,,7,"0,00%",,,,,,
693,FL,Florida,22,n/a,,,,,District Votes:,,"17,582",,,,"216,096",,,,,,,
694,FL,Florida,,n/a,,,,,,,,,,,,,,,,,,
695,FL,Florida,23,H4FL20023,(I),Debbie Wasserman,Schultz,"Schultz, Debbie Wasserman",,D,Unopposed,,,,"103,269","62,67%",,,,,W,
696,FL,Florida,23,H2FL20043 ,,"Joseph ""Joe""",Kaufman,"Kaufman, Joseph ""Joe""",,R,"6,299","62,60%",,,"61,519","37,33%",,,,,,
697,FL,Florida,23,H4FL23076 ,,Juan ,Garcia,"Garcia, Juan ",,R,"3,764","37,40%",,,,,,,,,,
698,FL,Florida,23,n/a,,,,,Party Votes:,R,"10,063",,,,,,,,,,,
699,FL,Florida,23,n/a,,,,,District Votes:,,"10,063",,,,"164,788",,,,,,,
700,FL,Florida,,n/a,,,,,,,,,,,,,,,,,,
701,FL,Florida,24,H0FL17068 ,(I),Frederica S.,Wilson,"Wilson, Frederica S.",,D,"35,456","80,43%",,,"129,192","86,18%",,,,,W,
702,FL,Florida,24,H4FL24017,,Michael A.,Etienne,"Etienne, Michael A.",,D,"8,628","19,57%",,,,,,,,,,
703,FL,Florida,24,n/a,,,,,Party Votes:,D,"44,084",,,,,,,,,,,
704,FL,Florida,24,H6FL17032 ,,Dufirstson Julio ,Neree,"Neree, Dufirstson Julio ",,R,Unopposed,,,,"15,239","10,16%",,,,,,
705,FL,Florida,24,H4FL24025,,Luis E.,Fernandez,"Fernandez, Luis E.",,NPA,,,,,"5,487","3,66%",,,,,,
706,FL,Florida,24,n/a,,,,,District Votes:,,"44,084",,,,"149,918",,,,,,,
707,FL,Florida,,n/a,,,,,,,,,,,,,,,,,,
708,FL,Florida,25,H2FL25018,(I),Mario,Diaz-Balart,"Diaz-Balart, Mario",,R,Unopposed,,,,Unopposed,,,,,,W,
709,FL,Florida,25,n/a,,,,,District Votes:,,n/a,,,,n/a,,,,,,,
710,FL,Florida,,n/a,,,,,,,,,,,,,,,,,,
711,FL,Florida,26,H4FL26038 ,,Carlos ,Curbelo,"Curbelo, Carlos ",,R,"13,861","47,01%",,,"83,031","51,46%",,,,,W,
712,FL,Florida,26,H4FL26012 ,,Ed,MacDougall,"MacDougall, Ed",,R,"7,455","25,28%",,,,,,,,,,
713,FL,Florida,26,H4FL26061 ,,Joe A.,Martinez,,,R,"5,136","17,42%",,,,,,,,,,
714,FL,Florida,26,H0FL25038 ,,David,Rivera,"Rivera, David",,R,"2,209","7,49%",,,,,,,,,,
715,FL,Florida,26,H4FL26046 ,,Lorenzo Palomares,Starbuck,"Starbuck, Lorenzo Palomares",,R,824,"2,79%",,,,,,,,,,
716,FL,Florida,26,n/a,,,,,Party Votes:,R,"29,485",,,,,,,,,,,
717,FL,Florida,26,H8FL25015,(I),Joe,Garcia,"Garcia, Joe",,D,Unopposed,,,,"78,306","48,54%",,,,,,
718,FL,Florida,26,n/a,,,,,District Votes:,,"29,485",,,,"161,337",,,,,,,
719,FL,Florida,27,H0FL18025,(I),Ileana ,Ros-Lehtinen,"Ros-Lehtinen, Ileana ",,R,Unopposed,,,,Unopposed,,,,,,W,
720,FL,Florida,27,n/a,,,,,District Votes:,,n/a,,,,n/a,,,,,,,
721,FL,Florida,H,n/a,,,,,Total State Votes:,,"506,413",,,,4.998.555,,,,,,,
722,,,,n/a,,,,,,,,,,,,,,,,,,
723,GA,Georgia,1,H4GA01039,,"E. L. ""Buddy""",Carter,,,R,"18,971","36,22%","22,871","53,81%","95,337","60,91%",,,,,W,
724,GA,Georgia,1,H4GA01054,,"Robert E. ""Bob""",Johnson,"Johnson, Robert E. ""Bob""",,R,"11,89","22,70%","19,632","46,19%",,,,,,,,
725,GA,Georgia,1,H4GA01096,,John A.,McCallum,"McCallum, John A.",,R,"10,715","20,46%",,,,,,,,,,
726,GA,Georgia,1,H4GA01070,,"J. L. ""Jeff""",Chapman,"Chapman, J. L. ""Jeff""",,R,"6,918","13,21%",,,,,,,,,,
727,GA,Georgia,1,H4GA01088,,Darwin,Carter,,,R,"2,819","5,38%",,,,,,,,,,
728,GA,Georgia,1,H4GA01138,,Earl T.,Martin,"Martin, Earl T.",,R,"1,063","2,03%",,,,,,,,,,
729,GA,Georgia,1,n/a,,,,,Party Votes:,R,"52,376",,"42,503",,,,,,,,,
730,GA,Georgia,1,H4GA01120,,Brian Corwin,Reese,"Reese, Brian Corwin",,D,"6,122","33,81%","6,531","63,09%","61,175","39,09%",,,,,,
731,GA,Georgia,1,H4GA01112,,Amy L.,Tavio,"Tavio, Amy L.",,D,"6,148","33,96%","3,821","36,91%",,,,,,,,
732,GA,Georgia,1,H4GA01104,,Marc Anthony,Smith,"Smith, Marc Anthony",,D,"5,836","32,23%",,,,,,,,,,
733,GA,Georgia,1,n/a,,,,,Party Votes:,D,"18,106",,"10,352",,,,,,,,,
734,GA,Georgia,1,n/a,,,,,District Votes:,,"70,482",,"52,855",,"156,512",,,,,,,
735,GA,Georgia,,n/a,,,,,,,,,,,,,,,,,,
736,GA,Georgia,2,H2GA02031,(I),Sanford D.,Bishop,"Bishop, Sanford D.",,D,"39,941","100,00%",,,"96,363","59,15%",,,,,W,
737,GA,Georgia,2,n/a,,,,,Party Votes:,D,"39,941",,,,,,,,,,,
738,GA,Georgia,2,H4GA02060,,"Gregory P. ""Greg""",Duke,,,R,"16,468","69,43%",,,"66,537","40,85%",,,,,,
739,GA,Georgia,2,H4GA02078,,Vivian L.,Childs,"Childs, Vivian L.",,R,"7,252","30,57%",,,,,,,,,,
740,GA,Georgia,2,n/a,,,,,Party Votes:,R,"23,72",,,,,,,,,,,
741,GA,Georgia,2,n/a,,,,,District Votes:,,"63,661",,,,"162,9",,,,,,,
742,GA,Georgia,,n/a,,,,,,,,,,,,,,,,,,
743,GA,Georgia,3,H4GA08067,(I),Lynn Acton,Westmoreland,"Westmoreland, Lynn Acton",,R,"37,106","69,49%",,,"156,277","100,00%",,,,,W,
744,GA,Georgia,3,H0GA13099,,"C. E. ""Chip""",Flanagan,"Flanagan, C. E. ""Chip""",,R,"16,294","30,51%",,,,,,,,,,
745,GA,Georgia,3,n/a,,,,,Party Votes:,R,"53,4",,,,,,,,,,,
746,GA,Georgia,3,n/a,,,,,District Votes:,,"53,4",,,,"156,277",,,,,,,
747,GA,Georgia,,n/a,,,,,,,,,,,,,,,,,,
748,GA,Georgia,4,H6GA04129,(I),"Henry C. ""Hank,"" Jr.",Johnson,,,D,"26,514","54,75%",,,"161,211","99,93%",,,,,W,
749,GA,Georgia,4,H4GA04116,,"Thomas E. ""Tom""",Brown,,,D,"21,909","45,25%",,,,,,,,,,
750,GA,Georgia,4,n/a,,,,,Party Votes:,D,"48,423",,,,,,,,,,,
751,GA,Georgia,4,H4GA04058,,Raymond L.,Davis,"Davis, Raymond L.",,W,,,,,109,"0,07%",,,,,,
752,GA,Georgia,4,n/a,,,,,District Votes:,,"48,423",,,,"161,32",,,,,,,
753,GA,Georgia,,n/a,,,,,,,,,,,,,,,,,,
754,GA,Georgia,5,H6GA05217,(I),John R.,Lewis,"Lewis, John R.",,D,"48,001","100,00%",,,"170,326","100,00%",,,,,W,
755,GA,Georgia,5,n/a,,,,,Party Votes:,D,"48,001",,,,,,,,,,,
756,GA,Georgia,5,n/a,,,,,District Votes:,,"48,001",,,,"170,326",,,,,,,
757,GA,Georgia,,n/a,,,,,,,,,,,,,,,,,,
758,GA,Georgia,6,H4GA06087,(I),"Thomas E. ""Tom""",Price,"Price, Thomas E. ""Tom""",,R,"44,074","100,00%",,,"139,018","66,04%",,,,,W,
759,GA,Georgia,6,n/a,,,,,Party Votes:,R,"44,074",,,,,,,,,,,
760,GA,Georgia,6,H2GA06107,,Robert G.,Montigel,"Montigel, Robert G.",,D,"11,493","100,00%",,,"71,486","33,96%",,,,,,
761,GA,Georgia,6,n/a,,,,,Party Votes:,D,"11,493",,,,,,,,,,,
762,GA,Georgia,6,n/a,,,,,District Votes:,,"55,567",,,,"210,504",,,,,,,
763,GA,Georgia,,n/a,,,,,,,,,,,,,,,,,,
764,GA,Georgia,7,H0GA07133,(I),"William Robert ""Rob""",Woodall,"Woodall, William Robert ""Rob""",,R,"33,804","100,00%",,,"113,557","65,39%",,,,,W,
765,GA,Georgia,7,n/a,,,,,Party Votes:,R,"33,804",,,,,,,,,,,
766,GA,Georgia,7,H4GA04124,,Thomas Dee,Wight,"Wight, Thomas Dee",,D,"7,141","100,00%",,,"60,112","34,61%",,,,,,
767,GA,Georgia,7,n/a,,,,,Party Votes:,D,"7,141",,,,,,,,,,,
