S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,Game
7,14,21,33,2,12,21,31,1,10,17,23,33,38,10,16,24,35,6,17,100,86,65,265,315,303,282,251,450,450,300,277,377,339,539,523,499,464,658,758,fake
6,15,22,27,31,39,8,19,25,33,36,6,13,23,30,30,30,12,17,23,194,179,379,352,321,282,474,455,430,530,580,774,761,738,738,728,718,706,806,783,fake
3,7,13,17,27,34,0,9,15,22,30,30,30,30,20,27,30,20,30,30,197,97,84,284,257,223,423,414,399,299,299,289,279,269,269,242,242,242,242,232,real
7,15,19,26,35,4,14,21,25,30,30,14,21,28,30,30,18,30,30,30,100,85,66,40,5,201,187,166,141,141,131,117,96,68,68,58,40,40,30,20,real
10,18,26,36,6,9,19,27,34,4,10,20,27,34,36,7,12,17,25,31,200,182,156,256,450,441,422,395,361,557,557,557,530,496,346,746,734,834,809,778,fake
7,12,15,22,29,37,8,17,24,31,2,10,16,21,28,37,4,7,16,24,50,38,23,223,194,157,349,399,375,344,744,744,728,707,679,642,838,738,722,698,real
6,15,27,39,11,21,26,34,2,9,19,29,0,11,21,30,16,23,33,0,194,179,152,113,302,281,255,221,621,612,593,564,764,753,732,732,716,693,743,943,fake
13,19,28,39,9,19,25,27,35,4,14,21,32,0,7,16,21,27,34,2,187,168,140,101,292,273,248,221,186,382,368,347,315,515,715,699,678,651,617,917,fake
9,20,29,34,6,12,19,32,1,11,19,25,36,8,16,25,36,5,15,24,191,191,162,128,322,310,291,259,458,447,428,403,453,645,629,604,804,999,984,960,fake
6,14,25,29,1,10,15,22,27,31,37,39,6,14,26,35,38,3,13,19,194,180,155,126,325,325,310,360,333,302,265,226,420,406,380,345,307,504,491,472,real
9,12,19,26,35,2,12,15,20,25,31,33,5,8,14,18,26,32,36,6,191,179,160,134,99,349,337,322,322,297,266,116,311,303,289,271,245,213,63,257,real
9,16,27,34,5,14,21,28,39,6,12,18,31,38,5,13,22,32,5,16,191,175,148,114,309,295,274,246,207,401,389,371,340,302,497,484,334,302,497,481,fake
7,12,17,24,32,1,12,19,24,33,39,5,14,22,27,34,3,10,13,20,100,88,138,114,82,281,269,250,226,276,237,432,418,468,441,407,604,604,591,591,real
4,7,16,19,25,33,0,5,9,17,24,32,1,5,11,17,26,37,4,7,196,296,280,261,236,336,536,531,522,722,698,666,865,860,849,899,873,836,1032,932,real
8,19,29,35,2,9,19,30,30,30,30,30,30,30,30,30,30,30,30,22,192,173,144,109,359,350,331,331,321,311,301,291,281,271,261,251,241,231,221,71,fake
3,15,22,28,35,3,12,20,28,35,39,8,15,22,28,38,8,20,22,27,197,182,232,204,169,366,354,354,326,291,252,444,429,329,301,263,455,455,655,628,real
11,17,23,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,189,39,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fake
6,13,17,27,36,4,11,15,23,27,35,39,3,9,13,17,27,29,38,1,194,181,281,254,354,550,539,524,501,474,439,400,597,588,575,425,398,369,331,530,real
11,20,24,29,37,4,10,17,26,31,38,4,14,24,33,39,9,16,25,31,189,189,165,136,99,295,295,395,369,338,300,496,482,458,558,519,710,694,669,638,fake
6,11,21,30,30,30,16,19,22,27,30,30,12,17,25,32,36,4,11,21,194,183,162,162,152,142,126,107,207,180,180,170,158,258,233,201,101,297,286,265,real
7,14,23,30,30,18,23,34,6,16,22,33,5,9,16,25,31,0,11,23,300,286,263,263,253,235,212,178,372,356,206,306,501,492,476,451,420,620,609,586,fake
6,16,25,32,3,14,17,28,37,9,19,29,36,1,11,18,23,31,0,8,194,178,153,121,318,304,354,326,289,480,461,432,532,731,720,702,679,648,848,840,fake
5,12,21,27,35,2,8,16,26,33,39,10,22,30,30,30,30,30,30,30,195,183,162,135,100,350,342,326,300,150,111,311,211,211,201,191,181,171,161,151,fake
9,14,18,28,38,9,11,22,30,22,32,38,7,17,25,34,4,11,16,27,191,177,159,131,93,284,273,323,323,423,391,353,653,853,828,794,990,979,963,936,fake
4,12,18,26,32,39,9,17,28,37,3,11,16,21,31,39,10,17,22,29,196,184,166,140,108,69,260,460,432,395,592,581,565,544,513,474,674,724,624,595,real
6,16,23,33,4,11,19,29,38,4,12,17,23,30,12,19,25,29,39,4,194,178,155,205,401,390,371,342,304,500,488,688,665,665,653,634,609,580,541,737,real
8,14,22,31,38,7,16,23,30,30,30,30,30,30,30,22,28,36,4,10,192,178,378,347,309,359,343,320,320,310,300,290,280,270,260,110,82,182,378,378,real
10,19,24,34,4,15,23,35,1,12,24,33,1,12,18,25,36,4,14,24,200,181,157,123,319,304,281,246,445,433,409,609,808,796,778,753,803,999,985,961,fake
6,16,19,28,30,22,30,30,30,30,30,22,31,0,7,11,21,29,34,5,194,178,159,131,131,331,331,321,311,301,291,491,460,660,560,549,528,499,465,660,fake
9,15,22,32,39,6,8,15,24,32,39,7,17,17,17,17,17,17,17,17,191,176,76,44,5,199,191,176,152,120,81,131,0,0,0,0,0,0,0,0,real
11,16,26,32,35,3,11,19,27,35,2,7,19,25,35,0,7,18,29,1,189,173,147,115,80,277,266,247,220,185,235,335,316,291,256,456,656,638,609,808,fake
6,12,21,32,39,11,14,18,23,33,39,4,10,21,32,39,10,19,26,28,194,182,161,129,90,279,265,247,224,424,385,581,581,560,528,489,689,670,644,616,real
11,21,29,39,8,12,22,25,36,36,36,36,36,36,36,36,36,36,36,36,189,168,139,100,292,280,130,105,0,0,0,0,0,0,0,0,0,0,0,0,fake
13,23,34,0,5,15,25,30,30,22,34,2,13,24,35,3,14,21,26,37,187,164,130,330,325,310,285,285,275,375,341,741,728,704,669,866,852,831,805,768,fake
11,18,22,27,37,2,7,16,24,27,34,5,11,18,26,36,1,3,10,15,189,171,271,244,207,507,407,391,367,340,306,501,490,472,446,346,545,542,542,527,real
3,13,18,21,29,37,3,14,18,25,28,33,39,6,14,24,31,38,5,16,197,184,166,145,116,79,276,262,244,219,191,391,352,546,532,508,477,439,634,618,real
5,14,23,32,0,11,19,24,37,4,9,19,29,39,7,18,28,36,7,19,195,181,158,126,326,315,296,272,235,431,422,403,374,335,385,367,339,539,839,820,fake
2,11,17,23,31,36,1,8,16,23,33,6,16,21,28,37,4,15,24,29,50,39,139,116,85,185,384,376,360,337,187,381,365,344,316,279,475,460,436,407,fake
7,13,19,30,16,22,28,31,39,7,16,25,29,34,4,10,17,21,32,38,250,237,218,218,202,252,224,193,154,404,388,363,334,300,496,496,596,575,543,505,real
5,12,19,24,31,0,7,18,28,35,3,11,19,30,30,30,30,30,30,30,195,183,164,140,109,309,359,341,313,278,475,464,445,445,435,425,415,405,395,385,real
7,18,26,32,1,10,20,31,2,9,19,26,32,2,9,20,26,31,33,1,400,382,356,324,523,523,523,492,892,883,864,838,806,1106,1097,1097,1071,1040,940,1139,fake
7,15,21,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,50,35,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,real
8,18,25,32,0,12,20,28,33,39,9,17,27,33,2,9,16,26,35,1,192,174,149,117,317,305,305,277,477,438,629,729,702,552,852,843,827,801,766,965,fake
7,16,25,33,4,13,22,31,36,3,10,17,22,30,22,32,36,6,13,16,300,284,259,459,655,642,842,811,861,1058,1058,1258,1458,1458,1308,1276,1126,1320,1307,1291,fake
6,13,23,29,38,9,21,28,36,1,9,20,26,31,1,8,12,20,24,30,194,181,158,129,91,282,261,233,83,282,273,273,247,216,415,407,395,395,371,371,real
5,15,23,33,38,10,20,26,32,1,6,9,12,20,25,34,5,16,23,27,195,180,157,257,219,419,419,393,361,560,554,545,533,533,508,474,669,653,630,603,fake
6,10,17,24,32,38,9,17,24,31,37,5,15,23,27,36,4,10,16,23,194,194,244,220,188,150,341,441,417,386,349,544,529,506,479,379,575,575,559,536,real
5,11,15,22,27,32,0,6,10,15,23,28,34,39,6,16,23,31,39,10,195,184,169,269,242,210,410,404,404,389,366,338,304,265,459,443,420,389,350,550,real
8,19,25,31,1,12,24,31,37,9,22,33,2,12,16,22,30,30,30,30,192,173,148,117,316,304,280,249,212,403,603,703,803,791,775,675,675,665,655,645,fake
6,16,25,33,4,12,19,28,37,6,14,24,31,0,7,12,20,22,30,30,194,178,153,353,549,537,518,490,453,647,633,609,578,778,878,866,866,1066,1066,1056,real
11,14,19,25,34,0,8,12,21,29,36,3,14,21,26,37,9,20,27,31,189,175,156,131,97,297,289,277,256,227,427,624,610,589,563,526,717,717,690,659,real
11,23,29,38,7,14,21,27,36,6,13,25,31,4,10,20,27,34,2,7,189,166,137,99,399,385,364,337,237,431,418,393,362,558,558,558,531,497,547,747,fake
10,15,26,34,3,6,13,23,32,3,10,13,22,32,4,10,16,26,36,39,200,185,159,125,322,316,303,280,248,445,445,432,632,600,796,796,780,754,954,915,fake
8,12,23,31,36,7,13,21,31,39,9,14,24,28,35,1,7,14,21,28,192,180,157,126,176,226,213,192,161,122,313,299,275,247,212,411,511,497,476,448,fake
13,21,29,0,6,15,24,34,6,14,21,31,2,8,19,25,32,38,6,13,187,166,137,337,331,316,292,258,452,438,417,386,686,678,659,634,602,564,758,745,fake
7,16,23,32,39,9,18,26,32,1,6,12,25,34,38,8,14,24,33,38,300,284,261,229,190,381,363,337,305,504,498,486,461,427,389,581,567,543,443,405,fake
8,20,26,37,8,16,26,34,2,8,17,26,36,5,16,28,39,10,19,28,192,192,166,129,321,305,279,245,345,337,437,411,611,806,790,762,723,923,904,876,fake
6,17,19,24,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,194,44,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,real
7,17,29,37,6,15,20,24,28,38,6,15,25,29,37,0,6,17,28,37,400,500,471,434,628,613,613,589,561,523,717,702,677,648,611,811,805,705,677,640,fake
10,16,29,38,6,15,24,34,1,7,16,24,31,38,2,10,21,28,39,5,200,184,155,117,311,296,272,238,437,637,621,597,566,528,828,828,807,779,740,935,fake
5,8,15,24,33,38,8,17,27,29,38,4,11,18,26,36,0,4,6,14,195,187,172,148,248,210,402,302,275,246,208,404,393,375,349,199,399,395,389,375,real
3,10,20,28,36,3,12,19,29,35,4,12,17,25,35,2,7,14,21,29,197,197,197,169,269,466,454,435,406,371,567,555,755,730,695,945,845,831,810,781,real
7,11,21,26,34,2,6,18,25,29,36,6,12,15,20,26,32,1,10,20,250,239,218,192,158,558,552,534,509,480,530,724,712,697,697,671,639,838,838,838,real
5,7,13,20,24,33,39,4,6,14,22,28,30,12,21,28,38,2,6,13,195,295,282,282,258,158,119,315,309,295,495,467,467,455,434,406,368,768,762,749,real
6,10,15,24,29,33,3,12,16,24,29,35,5,12,17,29,38,8,16,25,194,194,179,155,126,176,373,361,345,321,292,257,452,440,540,511,473,665,649,624,real
12,23,29,32,36,4,13,20,25,32,38,2,7,14,25,30,30,30,30,30,188,165,136,104,4,200,187,187,162,130,92,192,392,378,353,353,343,333,323,313,real
9,22,31,39,4,7,14,17,26,36,5,16,25,29,39,7,14,26,37,1,191,91,60,21,217,267,253,453,427,477,672,656,631,602,563,863,849,823,786,985,fake
8,16,26,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,192,176,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,real
8,15,24,32,37,9,19,28,38,8,16,28,38,8,14,23,26,28,38,1,192,177,153,121,84,275,256,228,190,382,366,338,300,492,478,455,429,401,363,562,fake
12,22,31,36,4,15,21,26,29,39,8,10,18,29,39,10,22,26,30,22,188,38,7,107,303,288,267,241,212,173,365,365,347,318,279,479,579,553,553,453,fake
3,7,18,26,35,3,12,19,26,31,35,2,11,18,23,30,30,30,20,28,197,397,379,353,318,515,503,484,458,427,392,642,631,613,590,590,580,570,570,542,real
10,14,23,30,30,30,30,30,30,30,30,30,30,30,30,20,24,31,31,31,200,186,163,163,153,143,133,123,113,103,93,83,73,63,53,53,29,0,0,0,real
10,18,30,20,29,0,8,16,24,29,36,1,11,24,32,39,12,20,28,37,200,182,182,182,153,353,345,329,305,276,326,525,514,490,458,419,607,607,579,542,fake
10,20,25,32,2,11,18,24,32,3,11,21,27,31,1,8,13,15,23,33,200,200,175,143,243,232,214,190,158,355,344,323,296,265,464,456,443,428,405,455,real
10,13,15,26,34,1,8,18,30,30,30,30,30,30,30,30,18,27,31,2,200,187,172,146,112,311,303,285,285,275,265,255,245,235,225,215,197,170,139,389,real
11,24,33,1,7,14,24,36,5,13,22,33,5,14,25,32,0,8,17,28,189,165,215,414,614,600,576,776,971,958,1158,1358,1553,1539,1514,1482,1682,1674,1724,1696,fake
9,12,22,34,1,9,18,27,36,2,10,16,25,36,4,13,24,28,37,8,191,179,279,245,444,435,417,390,490,590,590,574,549,599,795,782,758,730,693,885,fake
7,12,17,29,38,5,10,16,22,33,0,7,14,18,30,30,30,30,30,30,300,288,388,359,321,516,516,500,700,600,800,900,886,868,868,858,848,838,828,818,fake
8,18,26,37,8,19,31,37,3,12,22,32,4,14,21,32,39,3,10,18,192,174,148,111,303,284,253,216,413,401,601,569,765,751,730,698,659,856,856,838,fake
8,19,25,32,3,6,16,21,27,36,4,11,18,26,33,3,11,21,28,39,192,173,148,116,313,307,291,270,243,293,489,478,460,434,634,831,820,799,771,732,real
6,14,19,25,31,0,12,16,21,28,39,5,12,20,25,34,1,8,20,26,194,180,161,136,105,305,293,277,256,228,189,384,372,372,347,313,512,504,504,478,real
7,18,25,34,39,9,13,19,29,38,6,14,27,36,3,15,22,32,38,6,250,232,207,173,134,325,312,293,264,226,420,406,379,229,426,411,511,479,441,635,fake
11,17,21,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,189,39,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fake
4,10,18,24,33,3,10,21,26,38,11,20,31,2,10,16,23,31,36,39,196,196,178,154,354,551,551,530,504,466,655,655,624,1024,1024,1008,985,954,1154,1115,fake
6,14,24,30,30,30,30,30,18,28,36,36,36,36,36,36,36,36,36,36,194,180,156,156,146,136,126,116,98,70,0,0,0,0,0,0,0,0,0,0,fake
4,10,19,26,31,39,7,17,26,33,39,7,19,27,32,0,9,16,24,34,196,196,177,151,120,81,381,281,255,305,266,566,547,520,488,688,679,663,639,605,fake
4,11,17,21,26,30,30,22,26,32,39,39,39,39,39,39,39,39,39,39,196,185,235,214,188,188,178,78,52,20,0,0,0,0,0,0,0,0,0,0,real
10,20,30,30,30,30,30,30,22,32,2,8,21,25,36,2,13,17,30,30,200,200,200,190,180,170,160,150,200,168,568,560,539,514,564,614,601,451,451,441,fake
13,20,29,1,9,18,28,36,4,12,25,35,38,9,15,23,31,37,8,14,187,187,158,357,348,330,302,352,548,536,511,476,438,629,614,591,560,523,715,701,fake
7,16,29,39,11,19,29,0,13,21,30,30,30,30,30,20,28,31,2,9,400,384,355,316,505,486,457,657,644,623,623,613,603,593,583,583,555,524,824,815,fake
7,14,25,35,0,10,15,20,28,35,2,14,25,32,38,6,8,16,26,31,250,236,211,176,376,376,361,361,333,298,698,684,659,627,589,783,775,759,733,702,real
8,17,26,29,38,4,12,18,30,16,21,29,39,11,18,28,35,3,10,23,192,292,266,237,199,395,383,365,365,349,328,299,260,449,431,403,368,565,565,542,fake
7,12,17,25,31,0,5,11,16,20,31,3,13,21,28,39,11,17,23,27,100,88,188,163,132,332,327,316,300,300,269,466,453,432,404,365,554,454,431,404,real
10,21,31,37,10,20,26,36,5,14,21,29,38,2,9,16,23,34,39,11,200,179,148,111,311,311,285,385,580,566,545,516,478,578,569,553,530,496,457,646,fake
10,14,26,32,1,6,11,20,29,39,7,13,19,25,34,0,9,13,15,23,200,186,160,128,327,321,310,310,281,242,492,479,460,435,401,601,592,579,564,541,real
4,14,24,33,37,7,17,25,31,0,11,19,32,37,4,14,24,35,7,17,196,182,158,58,21,421,271,246,215,415,404,385,353,316,512,498,474,439,489,539,fake
12,20,24,33,38,3,10,19,27,35,1,9,16,19,28,38,3,11,23,32,188,188,164,264,226,423,423,404,377,342,541,532,516,497,469,431,628,617,594,562,real
9,18,20,31,39,8,16,22,28,0,7,18,30,22,28,39,2,11,20,27,191,173,173,142,103,295,279,129,101,301,501,483,483,583,555,516,816,805,805,778,fake
9,20,30,30,30,18,25,31,39,10,14,25,37,3,14,19,24,35,39,6,191,191,191,181,171,153,128,97,58,258,244,219,182,379,365,346,322,287,248,442,real
10,17,29,1,8,12,17,23,29,38,5,14,18,28,38,6,15,24,30,30,200,50,21,220,212,200,100,77,48,10,205,191,173,145,107,301,286,262,262,252,real
10,13,19,31,33,0,11,17,25,27,36,5,11,17,21,29,1,10,19,25,200,187,168,137,187,387,376,426,401,374,224,419,408,608,587,558,757,757,738,713,real
10,17,24,29,36,7,14,21,25,35,3,15,20,26,33,2,10,22,25,35,200,250,226,197,297,597,583,562,537,502,699,684,684,658,558,808,808,658,633,598,fake
8,17,22,27,36,1,7,13,17,21,30,22,31,38,5,8,14,18,29,34,192,292,142,115,165,364,464,451,351,330,330,180,149,111,306,298,284,266,237,203,real
6,10,14,22,30,30,30,30,30,30,22,32,32,32,32,32,32,32,32,32,194,194,180,230,230,220,210,200,190,180,30,0,0,0,0,0,0,0,0,0,real
9,14,21,30,30,30,30,14,16,24,33,37,4,9,18,25,33,4,9,19,191,177,156,156,146,136,126,112,96,72,272,235,431,422,404,379,579,775,766,747,real
8,11,19,29,36,6,11,18,27,0,9,17,27,37,3,8,12,20,31,1,192,181,162,133,333,527,516,498,471,671,662,762,735,698,895,887,875,875,844,1043,fake
10,19,25,31,34,5,12,21,28,37,2,10,17,29,36,5,8,15,25,33,200,181,156,125,91,286,274,253,225,188,288,288,388,359,209,404,396,381,356,556,real
4,11,15,23,32,3,8,17,22,31,31,31,31,31,31,31,31,31,31,31,196,185,170,147,115,312,304,154,4,0,0,0,0,0,0,0,0,0,0,0,real
12,20,27,37,3,10,21,31,36,2,10,17,21,29,0,9,11,18,29,37,188,188,161,124,321,321,300,269,319,419,419,469,448,419,619,610,599,581,552,515,real
4,16,24,34,2,9,13,18,23,30,30,30,30,30,30,30,18,26,28,36,196,180,156,122,422,413,400,382,359,359,349,339,329,319,309,299,281,255,227,277,real
9,19,27,38,6,16,25,34,1,9,18,26,34,38,3,10,15,24,36,0,191,172,145,107,301,285,260,226,425,416,398,372,338,300,497,497,482,458,658,858,fake
5,13,22,30,30,30,18,18,18,18,18,18,18,18,18,18,18,18,18,18,195,182,32,32,22,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,real
6,11,15,20,25,33,38,10,22,25,31,33,0,5,12,23,30,30,30,30,194,183,168,168,143,243,205,405,605,580,549,649,849,844,832,809,809,799,789,779,real
7,15,21,28,33,2,10,18,24,32,35,3,13,23,31,36,1,10,22,34,250,235,214,186,236,286,286,268,244,212,177,374,361,338,307,407,606,606,656,622,real
13,21,33,4,15,27,34,6,13,16,22,27,39,9,17,25,35,3,13,22,187,166,16,212,197,170,136,330,317,301,351,324,285,476,676,651,616,813,800,1000,fake
10,20,23,27,34,4,10,12,23,26,30,30,30,30,30,30,30,30,30,18,200,200,177,150,116,312,312,300,277,251,251,241,231,221,211,201,191,181,171,153,real
6,13,23,30,30,30,30,30,30,30,30,30,30,30,30,22,22,22,22,22,194,181,158,158,148,138,128,118,108,98,88,78,68,58,48,0,0,0,0,0,real
6,9,13,15,27,32,0,8,12,17,26,34,5,11,16,19,28,31,2,8,194,185,172,157,130,98,298,290,278,178,152,118,313,302,286,267,239,208,308,300,real
11,21,29,0,6,12,19,29,35,2,10,21,33,2,9,14,17,26,38,4,189,168,139,339,333,321,302,273,238,538,538,517,617,917,908,894,744,718,680,876,fake
5,11,20,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,195,184,184,184,174,164,154,144,134,124,114,104,94,84,74,64,54,44,34,24,real
6,13,23,31,3,12,23,29,32,0,7,11,21,26,31,36,4,10,17,27,194,181,158,127,324,312,289,260,228,428,328,317,296,270,239,289,485,485,535,508,real
4,11,19,25,32,0,2,9,20,27,38,1,5,11,19,25,30,18,24,28,196,185,166,141,109,309,209,200,200,173,135,334,329,318,299,274,274,256,232,204,real
8,17,26,33,36,6,11,19,27,37,4,14,25,36,4,17,27,36,1,12,192,392,366,466,566,760,749,730,703,666,862,848,823,723,919,1119,1092,1292,1491,1479,fake
7,12,20,27,30,30,30,30,30,30,30,18,18,18,18,18,18,18,18,18,100,88,88,61,61,51,41,31,21,11,1,0,0,0,0,0,0,0,0,0,real
12,24,33,3,13,25,34,3,13,20,27,31,37,9,18,21,27,34,6,12,188,164,264,461,448,423,389,586,573,573,546,515,478,669,651,630,603,569,763,751,fake
10,21,28,31,37,7,18,30,30,30,30,30,30,30,30,30,30,30,22,32,200,179,151,120,83,483,465,465,455,445,435,425,415,405,395,385,375,365,565,533,real
7,13,20,27,35,0,9,17,29,36,1,9,13,18,23,36,8,20,30,30,250,237,237,210,175,375,366,466,437,637,836,827,814,796,773,823,1015,1015,1015,1005,fake
4,12,21,28,35,2,10,16,27,34,1,7,14,22,24,30,30,12,18,27,196,184,163,135,100,200,200,184,157,123,322,522,508,408,384,384,374,362,344,317,real
11,21,25,29,39,7,13,22,24,29,32,1,11,23,33,39,11,21,28,33,189,168,143,114,75,175,162,362,338,309,277,476,465,442,292,253,442,421,393,593,real
8,15,25,33,4,13,21,25,31,38,3,10,21,26,33,38,5,12,19,28,192,177,152,352,548,535,514,489,458,420,617,617,596,570,770,732,927,915,896,868,real
8,17,24,31,35,6,17,25,28,34,7,18,31,0,9,17,23,27,38,7,192,392,368,337,302,496,596,571,543,509,909,891,860,1060,1051,1151,1128,1101,1063,1363,fake
7,15,25,30,12,22,31,37,4,13,23,36,6,13,21,28,35,4,10,21,400,385,360,360,348,448,417,380,576,563,540,740,934,921,900,872,837,1033,1033,1012,fake
8,17,27,33,35,39,4,9,16,26,36,2,14,23,31,36,6,10,21,29,192,242,215,415,380,341,537,528,512,486,586,636,622,599,568,468,662,662,641,612,real
11,16,20,27,30,30,30,12,16,24,33,33,33,33,33,33,33,33,33,33,189,173,173,146,146,136,126,114,98,74,0,0,0,0,0,0,0,0,0,0,real
6,13,19,26,32,1,8,15,17,25,33,39,6,13,19,23,29,35,6,10,194,181,162,136,104,303,295,280,380,355,255,216,410,397,378,355,326,291,485,485,real
9,14,22,33,37,4,14,24,30,20,29,33,38,5,9,14,19,26,35,1,191,177,377,477,440,636,622,598,598,598,569,669,631,826,817,803,784,758,723,922,real
5,11,18,21,29,33,0,4,13,20,29,34,4,9,18,23,32,36,4,9,195,184,166,145,116,166,366,362,349,349,320,286,482,473,455,432,400,250,446,437,real
6,15,25,33,2,11,22,32,4,16,27,37,5,13,18,26,38,7,15,27,194,179,154,204,604,593,493,461,657,641,614,577,772,759,741,715,677,927,912,885,fake
7,12,16,26,29,34,2,6,13,21,32,4,8,13,24,32,39,7,17,21,250,238,222,196,167,133,233,227,214,193,161,357,349,336,312,280,241,541,641,620,real
9,17,22,27,31,39,11,21,32,38,8,16,25,32,0,9,14,19,25,37,191,391,491,464,433,394,583,562,530,492,684,668,643,611,811,802,788,769,744,707,fake
8,15,26,34,37,7,15,22,32,1,9,15,22,31,38,10,18,29,37,5,192,177,151,117,80,480,465,565,533,732,723,708,808,777,739,939,921,892,855,1050,fake
8,15,20,28,38,8,14,20,28,33,36,8,14,22,32,0,5,12,19,29,192,177,177,149,111,303,289,289,261,361,411,603,589,639,607,807,802,790,771,742,real
6,12,20,27,39,7,18,29,37,39,10,18,28,34,6,17,29,38,10,16,194,182,182,155,116,416,398,369,332,293,493,475,447,413,607,707,678,640,840,824,fake
10,18,23,29,35,4,14,16,20,22,29,35,4,10,15,19,24,28,37,1,200,182,159,130,95,291,277,261,261,361,332,297,493,493,478,459,435,407,370,569,real
8,11,19,23,31,0,9,19,29,34,1,7,15,22,28,34,39,3,11,20,192,181,162,139,108,308,299,280,251,217,416,466,451,551,523,489,450,647,636,636,real
13,17,28,32,3,13,23,29,36,4,11,19,28,35,2,13,18,26,33,3,187,237,209,177,374,361,338,309,509,705,694,675,647,612,712,699,681,655,755,952,fake
9,18,30,30,20,28,39,9,19,30,30,30,30,30,30,30,30,30,30,30,191,173,173,163,163,135,96,287,268,268,258,248,238,228,218,208,198,188,178,168,fake
6,12,19,21,30,16,25,28,33,33,33,33,33,33,33,33,33,33,33,33,194,182,163,142,142,126,101,73,0,0,0,0,0,0,0,0,0,0,0,0,real
7,14,23,31,0,10,19,28,35,2,11,22,30,30,30,30,30,30,30,30,400,386,363,332,532,532,513,485,450,550,539,639,639,629,619,609,599,589,579,569,fake
11,18,27,34,5,10,16,22,29,35,5,14,18,28,34,38,4,11,18,29,189,171,144,110,305,305,289,389,360,325,520,506,488,460,426,388,584,573,555,526,real
8,16,22,30,30,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,192,176,26,26,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,real
2,9,16,24,30,30,30,30,30,30,18,18,18,18,18,18,18,18,18,18,100,91,75,51,51,41,31,21,11,1,0,0,0,0,0,0,0,0,0,0,real
4,16,28,30,22,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,196,180,152,152,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fake
12,20,29,36,9,15,24,30,30,30,14,21,28,39,6,18,28,36,5,13,188,188,159,359,550,535,511,511,501,491,477,456,428,389,583,565,537,437,632,619,fake
9,20,27,34,2,11,17,28,32,36,6,16,28,36,2,12,20,28,34,3,191,191,164,130,530,519,419,391,359,559,753,737,709,909,1209,1197,1197,1169,1135,1332,fake
11,22,31,0,10,15,23,30,30,30,30,30,30,18,25,29,36,8,12,23,189,39,8,208,208,193,170,170,160,150,140,130,120,102,77,48,148,340,328,305,fake
4,13,19,27,35,3,11,18,26,36,38,4,8,18,24,32,36,3,11,18,196,183,164,137,102,299,288,270,244,94,56,252,244,226,202,170,370,567,556,538,real
4,13,23,31,38,4,15,25,29,0,4,12,23,32,39,9,16,28,33,37,196,183,160,129,91,287,272,247,218,418,414,402,379,347,308,499,483,455,655,618,fake
11,21,29,39,8,20,26,35,6,15,23,32,39,10,15,24,31,39,10,13,189,168,139,100,292,292,266,231,425,410,387,355,316,516,501,477,446,407,607,594,fake
8,18,22,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,192,174,74,74,64,54,44,34,24,14,4,0,0,0,0,0,0,0,0,0,real
2,14,22,32,2,10,18,24,33,6,13,23,31,39,6,12,18,27,36,5,250,236,436,404,504,504,486,462,662,856,843,820,789,750,944,932,914,887,787,982,fake
2,8,20,33,3,14,24,29,0,5,14,23,33,1,10,18,29,34,3,11,400,392,392,492,689,675,651,622,822,817,803,780,880,1079,1079,1061,1032,998,1195,1184,fake
7,16,29,37,5,15,19,29,1,7,16,26,34,5,17,26,37,5,15,23,300,284,255,218,413,398,379,350,549,449,433,407,373,568,618,592,555,750,735,712,fake
12,20,28,36,2,7,14,22,27,38,8,16,19,28,39,6,13,24,37,8,188,188,160,210,460,360,346,546,519,481,673,657,638,610,571,765,752,728,691,883,fake
7,11,22,28,34,1,5,15,27,34,4,12,21,26,33,39,9,16,25,35,400,389,239,211,177,376,371,356,329,295,491,479,458,432,282,243,434,418,393,358,real
6,12,16,26,34,1,11,17,24,31,3,10,21,34,2,5,16,18,29,39,194,182,166,140,106,305,294,494,470,439,636,636,615,581,831,826,810,792,763,724,fake
6,8,13,16,25,31,38,6,16,27,34,0,10,17,21,28,35,2,9,17,194,186,173,157,132,101,63,257,241,214,180,380,380,480,459,431,396,446,437,487,real
